departure_airport_id,departure_airport_name,departure_time,arrival_airport_id,arrival_airport_name,arrival_time,airline,flight_number,airplane,travel_class,duration_min,legroom,overnight,extensions_flight,index_tramo,total_duration,layovers,price_usd,type,extensions_group,emissions_this_flight,emissions_typical_route,emissions_difference_percent,booking_token,departure_date
BOG,El Dorado International Airport,2025-07-05 12:50,MIA,Miami International Airport,2025-07-05 17:55,Avianca,AV 4,Airbus A320neo,Economy,245,28 in,False,Below average legroom (28 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 155 kg,1,420,BOG (86min),285,One way,,235000,170000,38,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ2hCVmpVNWZFRldOQm9MQ0tMZUFSQUNHZ05WVTBRNEhIQ2kzZ0U9IixbWyJQVFkiLCIyMDI1LTA3LTA1IiwiQk9HIixudWxsLCJBViIsIjU5Il0sWyJCT0ciLCIyMDI1LTA3LTA1IiwiTUlBIixudWxsLCJBViIsIjQiXV1d,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 15:06,MEX,Mexico City International Airport Benito Juárez,2025-07-05 17:45,Aeromexico,AM 465,Boeing 737,Economy,219,31 in,False,Average legroom (31 in); Wi-Fi for a fee; In-seat USB outlet; On-demand video; Carbon emissions estimate: 205 kg,0,518,MEX (90min),331,One way,,342000,170000,101,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ3RCVFRRMk5YeEJUVFF5T0JvTENLdUNBaEFDR2dOVlUwUTRISENyZ2dJPSIsW1siUFRZIiwiMjAyNS0wNy0wNSIsIk1FWCIsbnVsbCwiQU0iLCI0NjUiXSxbIk1FWCIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkFNIiwiNDI4Il1dXQ==,2025-07-05
MEX,Mexico City International Airport Benito Juárez,2025-07-05 19:15,MIA,Miami International Airport,2025-07-06 00:44,Aeromexico,AM 428,Boeing 737MAX 9 Passenger,Economy,209,31 in,False,Average legroom (31 in); Wi-Fi for a fee; In-seat power & USB outlets; On-demand video; Carbon emissions estimate: 136 kg,1,518,MEX (90min),331,One way,,342000,170000,101,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ3RCVFRRMk5YeEJUVFF5T0JvTENLdUNBaEFDR2dOVlUwUTRISENyZ2dJPSIsW1siUFRZIiwiMjAyNS0wNy0wNSIsIk1FWCIsbnVsbCwiQU0iLCI0NjUiXSxbIk1FWCIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkFNIiwiNDI4Il1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 08:01,MIA,Miami International Airport,2025-07-05 12:12,COPA,CM 226,Boeing 737MAX 9 Passenger,Economy,191,30 in,False,Average legroom (30 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 132 kg,0,191,,357,One way,,132000,170000,-22,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRJeU5ob0xDSitXQWhBQ0dnTlZVMFE0SEhDZmxnST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiMjI2Il1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 08:10,MIA,Miami International Airport,2025-07-05 12:21,COPA,CM 419,Boeing 737,Economy,191,31 in,False,Average legroom (31 in); In-seat USB outlet; On-demand video; Carbon emissions estimate: 158 kg,0,191,,357,One way,,159000,170000,-6,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRReE9Sb0xDSitXQWhBQ0dnTlZVMFE0SEhDZmxnST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiNDE5Il1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 15:44,MIA,Miami International Airport,2025-07-05 19:55,COPA,CM 240,Boeing 737,Economy,191,31 in,False,Average legroom (31 in); In-seat USB outlet; On-demand video; Carbon emissions estimate: 158 kg,0,191,,357,One way,,159000,170000,-6,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRJME1Cb0xDSitXQWhBQ0dnTlZVMFE0SEhDZmxnST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiMjQwIl1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 18:16,MIA,Miami International Airport,2025-07-05 22:27,COPA,CM 427,Boeing 737,Economy,191,31 in,False,Average legroom (31 in); In-seat USB outlet; On-demand video; Carbon emissions estimate: 158 kg,0,191,,357,One way,,159000,170000,-6,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRReU54b0xDSitXQWhBQ0dnTlZVMFE0SEhDZmxnST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiNDI3Il1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 18:32,MIA,Miami International Airport,2025-07-05 22:43,COPA,CM 441,Boeing 737,Economy,191,31 in,False,Average legroom (31 in); In-seat USB outlet; On-demand video; Carbon emissions estimate: 158 kg,0,191,,357,One way,,159000,170000,-6,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRRME1Sb0xDSitXQWhBQ0dnTlZVMFE0SEhDZmxnST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiNDQxIl1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 21:33,MIA,Miami International Airport,2025-07-06 01:44,COPA,CM 432,Boeing 737MAX 9 Passenger,Economy,191,30 in,False,Average legroom (30 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 132 kg,0,191,,357,One way,,132000,170000,-22,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRRek1ob0xDSitXQWhBQ0dnTlZVMFE0SEhDZmxnST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiNDMyIl1dXQ==,2025-07-05
PTY,Tocumen International Airport Panama,2025-07-05 12:48,MIA,Miami International Airport,2025-07-05 16:59,COPA,CM 485,Boeing 737MAX 9 Passenger,Economy,191,30 in,False,Average legroom (30 in); In-seat USB outlet; Stream media to your device; Carbon emissions estimate: 132 kg,0,191,,373,One way,,132000,170000,-22,WyJDalJJUWxreFh6TnNMVGhRY0c5QlEyeHpOMmRDUnkwdExTMHRMUzB0TFMxNWJHVnRORUZCUVVGQlIyZHJlVVkwUm5waVprRkJFZ1ZEVFRRNE5Sb0xDTjZpQWhBQ0dnTlZVMFE0SEhEZW9nST0iLFtbIlBUWSIsIjIwMjUtMDctMDUiLCJNSUEiLG51bGwsIkNNIiwiNDg1Il1dXQ==,2025-07-05
MEX,Mexico City International Airport Benito Juárez,2025-07-09 19:45,LAX,Los Angeles International Airport,2025-07-09 22:35,Viva,VB 146,Airbus A320,Economy,230,28 in,False,Below average legroom (28 in); Stream media to your device; Carbon emissions estimate: 180 kg,0,230,,176,One way,,181000,225000,-20,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZXUWpFME5ob0xDSXVKQVJBQ0dnTlZVMFE0SEhDTGlRRT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIlZCIiwiMTQ2Il1dXQ==,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 19:45,LAX,Los Angeles International Airport,2025-07-09 22:42,Volaris,Y4 710,Airbus A321neo,Economy,237,28 in,False,Below average legroom (28 in); Stream media to your device; Carbon emissions estimate: 146 kg,0,237,,176,One way,,146000,225000,-35,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZaTkRjeE1Cb0xDS1dKQVJBQ0dnTlZVMFE0SEhDbGlRRT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIlk0IiwiNzEwIl1dXQ==,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 13:20,LAX,Los Angeles International Airport,2025-07-09 16:18,Aeromexico,AM 642,Boeing 737MAX 8 Passenger,Economy,238,31 in,False,Average legroom (31 in); Wi-Fi for a fee; In-seat power & USB outlets; On-demand video; Carbon emissions estimate: 163 kg,0,238,,287,One way,,164000,225000,-27,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZCVFRZME1ob0xDT1BmQVJBQ0dnTlZVMFE0SEhEajN3RT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIkFNIiwiNjQyIl1dXQ==,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 15:00,LAX,Los Angeles International Airport,2025-07-09 18:05,American,AA 2547,Boeing 737,Economy,245,30 in,False,Average legroom (30 in); Wi-Fi for a fee; In-seat power & USB outlets; Stream media to your device; Carbon emissions estimate: 200 kg,0,245,,287,One way,,201000,225000,-11,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1pCUVRJMU5EY2FDd2pqM3dFUUFob0RWVk5FT0J4dzQ5OEIiLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIkFBIiwiMjU0NyJdXV0=,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 15:45,LAX,Los Angeles International Airport,2025-07-09 18:50,Delta,DL 630,Boeing 757,Economy,245,31 in,False,Average legroom (31 in); Free Wi-Fi; In-seat power & USB outlets; Live TV; Carbon emissions estimate: 259 kg,0,245,,287,One way,,259000,225000,15,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZFVERZek1Cb0xDT1BmQVJBQ0dnTlZVMFE0SEhEajN3RT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIkRMIiwiNjMwIl1dXQ==,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 08:15,GDL,Guadalajara International Airport,2025-07-09 09:30,Viva,VB 1058,Airbus A321,Economy,75,28 in,False,Below average legroom (28 in); Stream media to your device; Carbon emissions estimate: 55 kg,0,375,GDL (100min),202,One way,,214000,225000,-5,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ3hXUWpFd05UaDhWa0kxTVRBYUN3aVluUUVRQWhvRFZWTkVPQnh3bUowQiIsW1siTUVYIiwiMjAyNS0wNy0wOSIsIkdETCIsbnVsbCwiVkIiLCIxMDU4Il0sWyJHREwiLCIyMDI1LTA3LTA5IiwiTEFYIixudWxsLCJWQiIsIjUxMCJdXV0=,2025-07-09
GDL,Guadalajara International Airport,2025-07-09 11:10,LAX,Los Angeles International Airport,2025-07-09 13:30,Viva,VB 510,Airbus A320,Economy,200,28 in,False,Below average legroom (28 in); Stream media to your device; Carbon emissions estimate: 158 kg,1,375,GDL (100min),202,One way,,214000,225000,-5,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ3hXUWpFd05UaDhWa0kxTVRBYUN3aVluUUVRQWhvRFZWTkVPQnh3bUowQiIsW1siTUVYIiwiMjAyNS0wNy0wOSIsIkdETCIsbnVsbCwiVkIiLCIxMDU4Il0sWyJHREwiLCIyMDI1LTA3LTA5IiwiTEFYIixudWxsLCJWQiIsIjUxMCJdXV0=,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 08:30,MTY,Monterrey International Airport,2025-07-09 10:05,Viva,VB 1134,Airbus A320,Economy,95,28 in,False,Below average legroom (28 in); Stream media to your device; Carbon emissions estimate: 72 kg,0,410,MTY (130min),218,One way,,242000,225000,8,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ3hXUWpFeE16UjhWa0kyTWpJYUN3ampxUUVRQWhvRFZWTkVPQnh3NDZrQiIsW1siTUVYIiwiMjAyNS0wNy0wOSIsIk1UWSIsbnVsbCwiVkIiLCIxMTM0Il0sWyJNVFkiLCIyMDI1LTA3LTA5IiwiTEFYIixudWxsLCJWQiIsIjYyMiJdXV0=,2025-07-09
MTY,Monterrey International Airport,2025-07-09 12:15,LAX,Los Angeles International Airport,2025-07-09 14:20,Viva,VB 622,Airbus A321,Economy,185,28 in,False,Below average legroom (28 in); Stream media to your device; Carbon emissions estimate: 168 kg,1,410,MTY (130min),218,One way,,242000,225000,8,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ3hXUWpFeE16UjhWa0kyTWpJYUN3ampxUUVRQWhvRFZWTkVPQnh3NDZrQiIsW1siTUVYIiwiMjAyNS0wNy0wOSIsIk1UWSIsbnVsbCwiVkIiLCIxMTM0Il0sWyJNVFkiLCIyMDI1LTA3LTA5IiwiTEFYIixudWxsLCJWQiIsIjYyMiJdXV0=,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 09:30,MTY,Monterrey International Airport,2025-07-09 11:05,Viva,VB 1356,Airbus A320,Economy,95,28 in,False,Below average legroom (28 in); Stream media to your device; Carbon emissions estimate: 72 kg,0,350,MTY (70min),223,One way,,242000,225000,8,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ3hXUWpFek5UWjhWa0kyTWpJYUN3anlyUUVRQWhvRFZWTkVPQnh3OHEwQiIsW1siTUVYIiwiMjAyNS0wNy0wOSIsIk1UWSIsbnVsbCwiVkIiLCIxMzU2Il0sWyJNVFkiLCIyMDI1LTA3LTA5IiwiTEFYIixudWxsLCJWQiIsIjYyMiJdXV0=,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 06:55,LAX,Los Angeles International Airport,2025-07-09 09:50,Aeromexico,AM 646,Boeing 787,Economy,235,32 in,False,Above average legroom (32 in); Wi-Fi for a fee; In-seat power & USB outlets; On-demand video; Carbon emissions estimate: 126 kg,0,235,,287,One way,,126000,225000,-44,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZCVFRZME5ob0xDT1BmQVJBQ0dnTlZVMFE0SEhEajN3RT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIkFNIiwiNjQ2Il1dXQ==,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 09:35,LAX,Los Angeles International Airport,2025-07-09 12:38,Aeromexico,AM 644,Boeing 737MAX 8 Passenger,Economy,243,31 in,False,Average legroom (31 in); Wi-Fi for a fee; In-seat power & USB outlets; On-demand video; Carbon emissions estimate: 163 kg,0,243,,287,One way,,164000,225000,-27,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZCVFRZME5Cb0xDT1BmQVJBQ0dnTlZVMFE0SEhEajN3RT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIkFNIiwiNjQ0Il1dXQ==,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 17:35,LAX,Los Angeles International Airport,2025-07-09 20:42,Aeromexico,AM 618,Boeing 737MAX 8 Passenger,Economy,247,31 in,False,Average legroom (31 in); Wi-Fi for a fee; In-seat power & USB outlets; On-demand video; Carbon emissions estimate: 163 kg,0,247,,287,One way,,164000,225000,-27,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZCVFRZeE9Cb0xDT1BmQVJBQ0dnTlZVMFE0SEhEajN3RT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIkFNIiwiNjE4Il1dXQ==,2025-07-09
MEX,Mexico City International Airport Benito Juárez,2025-07-09 19:25,LAX,Los Angeles International Airport,2025-07-09 22:30,Aeromexico,AM 648,Boeing 737,Economy,245,31 in,False,Average legroom (31 in); Wi-Fi for a fee; In-seat USB outlet; On-demand video; Carbon emissions estimate: 194 kg,0,245,,287,One way,,194000,225000,-14,WyJDalJJYzFKYVJEVlBhazUwVkc5QlExTk9TR2RDUnkwdExTMHRMUzB0TFhaM2Rtb3hORUZCUVVGQlIyZHJlV1l3VFd0NlkydEJFZ1ZCVFRZME9Cb0xDT1BmQVJBQ0dnTlZVMFE0SEhEajN3RT0iLFtbIk1FWCIsIjIwMjUtMDctMDkiLCJMQVgiLG51bGwsIkFNIiwiNjQ4Il1dXQ==,2025-07-09
